 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,United States,1,Personal income (millions of dollars),85151,76394,65531,50162,47114,53967,60704,69063,74556,68924,73456,79178,97407,125269,152637,163275,168186,179710,192525,211495,209009,232835.6,262330.7,280335.8,297142.9,300302,322134.3,346083.5,366021.2,376151.3,400328.8,417700,436047,464000,487780,522633,564444,612713,656828,720877,791229,855525,924613,1016408,1133468,1244912,1362505,1495704,1651632,1855849,2073257,2313160,2592915,2779794,2968676,3279488,3510471,3719647,3946593,4267813,4609667,4897821,5067291,5409920,5648732,5940128,6286143,6673186,7086935,7601594,8001563,8650325,9001839,9155663,9480901,10028781,10593946,11372589,12002204,12438527,12051307,12541995,13315478,13998383,14175503,14982715,15717140,16151881,16937582,17839255,18542262,19679715.1
0,United States,2,Population (persons) 1/,121769000,123075000,124038000,124839000,125580000,126372000,127251000,128054000,128822000,129825000,130884000,131955000,133417000,134670000,134697000,134075000,133387000,140638000,143665000,146091000,148666000,151871000,153970000,156369000,158946000,161881000,165058000,168078000,171178000,174153000,177136000,179972000,182976000,185739000,188434000,191085000,193460000,195499000,197375000,199312000,201298000,203798722,206817509,209274882,211349205,213333635,215456585,217553859,219760875,222098244,224568579,227224719,229465744,231664432,233792014,235824907,237923734,240132831,242288936,244499004,246819222,249622814,252980941,256514224,259918588,263125821,266278393,269394284,272646925,275854104,279040168,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309327143,311583481,313877662,316059947,318386329,320738994,323071755,325122128,326838199,328329953,329484123
0,United States,3,Per capita personal income (dollars) 2/,699,621,528,402,375,427,477,539,579,531,561,600,730,930,1133,1218,1261,1278,1340,1448,1406,1533,1704,1793,1869,1855,1952,2059,2138,2160,2260,2321,2383,2498,2589,2735,2918,3134,3328,3617,3931,4198,4471,4857,5363,5836,6324,6875,7516,8356,9232,10180,11300,11999,12698,13906,14755,15490,16289,17455,18676,19621,20030,21090,21733,22575,23607,24771,25993,27557,28675,30657,31589,31832,32681,34251,35849,38114,39844,40904,39284,40546,42735,44598,44851,47058,49003,49995,52096,54581,56474,59729
